DATE,AMDMVS
2000-01-01,203252
2000-02-01,191911
2000-03-01,197334
2000-04-01,202567
2000-05-01,197722
2000-06-01,199821
2000-07-01,197256
2000-08-01,194482
2000-09-01,201491
2000-10-01,195292
2000-11-01,192655
2000-12-01,196282
2001-01-01,187912
2001-02-01,191411
2001-03-01,188573
2001-04-01,180720
2001-05-01,185974
2001-06-01,183569
2001-07-01,179401
2001-08-01,179233
2001-09-01,174273
2001-10-01,173048
2001-11-01,173823
2001-12-01,175939
2002-01-01,174934.0
2002-02-01,174973.0
2002-03-01,174346.0
2002-04-01,179703.0
2002-05-01,179507.0
2002-06-01,178542.0
2002-07-01,178481.0
2002-08-01,180120.0
2002-09-01,177752.0
2002-10-01,178045.0
2002-11-01,178485.0
2002-12-01,171695.0
2003-01-01,175887.0
2003-02-01,177093.0
2003-03-01,177777.0
2003-04-01,173696.0
2003-05-01,176145.0
2003-06-01,177269.0
2003-07-01,179431.0
2003-08-01,176200.0
2003-09-01,182093.0
2003-10-01,181942.0
2003-11-01,183269.0
2003-12-01,181668.0
2004-01-01,180407.0
2004-02-01,182838.0
2004-03-01,188916.0
2004-04-01,185667.0
2004-05-01,185670.0
2004-06-01,187103.0
2004-07-01,185293.0
2004-08-01,189643.0
2004-09-01,190135.0
2004-10-01,191474.0
2004-11-01,192033.0
2004-12-01,196330.0
2005-01-01,199389.0
2005-02-01,197451.0
2005-03-01,195296.0
2005-04-01,201311.0
2005-05-01,199420.0
2005-06-01,200122.0
2005-07-01,196779.0
2005-08-01,201426.0
2005-09-01,204469.0
2005-10-01,207437.0
2005-11-01,208006.0
2005-12-01,214147.0
2006-01-01,210238.0
2006-02-01,213219.0
2006-03-01,214572.0
2006-04-01,208824.0
2006-05-01,215221.0
2006-06-01,215877.0
2006-07-01,207512.0
2006-08-01,215031.0
2006-09-01,212488.0
2006-10-01,212582.0
2006-11-01,214707.0
2006-12-01,221878.0
2007-01-01,215632
2007-02-01,218971
2007-03-01,222644
2007-04-01,224297
2007-05-01,226051
2007-06-01,225156
2007-07-01,225032
2007-08-01,226879
2007-09-01,224556
2007-10-01,225002
2007-11-01,226120
2007-12-01,225519
2008-01-01,229237
2008-02-01,228310
2008-03-01,223505
2008-04-01,228721
2008-05-01,224910
2008-06-01,226119
2008-07-01,223430
2008-08-01,216858
2008-09-01,215998
2008-10-01,205749
2008-11-01,196404
2008-12-01,189854
2009-01-01,176107
2009-02-01,175809
2009-03-01,172107
2009-04-01,166805
2009-05-01,163921
2009-06-01,163643
2009-07-01,167231
2009-08-01,168466
2009-09-01,173623
2009-10-01,173560
2009-11-01,177328
2009-12-01,179985
2010-01-01,183537
2010-02-01,180304
2010-03-01,183253
2010-04-01,187382
2010-05-01,189360
2010-06-01,189114
2010-07-01,193252
2010-08-01,192697
2010-09-01,194757
2010-10-01,194392
2010-11-01,194823
2010-12-01,197355
2011-01-01,200997
2011-02-01,200462
2011-03-01,207114
2011-04-01,203158
2011-05-01,203922
2011-06-01,204884
2011-07-01,208058
2011-08-01,209700
2011-09-01,207503
2011-10-01,211549
2011-11-01,210942
2011-12-01,213468
2012-01-01,218940
2012-02-01,217356
2012-03-01,218102
2012-04-01,219230
2012-05-01,222044
2012-06-01,220236
2012-07-01,217125
2012-08-01,214839
2012-09-01,217016
2012-10-01,216426
2012-11-01,220630
2012-12-01,221919
2013-01-01,220842
2013-02-01,223827
2013-03-01,222830
2013-04-01,223546
2013-05-01,226516
2013-06-01,225536
2013-07-01,220560
2013-08-01,224875
2013-09-01,225536
2013-10-01,227094
2013-11-01,232434
2013-12-01,225694
2014-01-01,225195
2014-02-01,229570
2014-03-01,230575
2014-04-01,230558
2014-05-01,232305
2014-06-01,232741
2014-07-01,238797
2014-08-01,236672
2014-09-01,236790
2014-10-01,236047
2014-11-01,231691
2014-12-01,236648
2015-01-01,231191
2015-02-01,230061
2015-03-01,235006
2015-04-01,234247
2015-05-01,231491
2015-06-01,233690
2015-07-01,234099
2015-08-01,233598
2015-09-01,233264
2015-10-01,230355
2015-11-01,231163
2015-12-01,225171
2016-01-01,228628
2016-02-01,227910
2016-03-01,225267
2016-04-01,227129
2016-05-01,225197
2016-06-01,224730
2016-07-01,224489
2016-08-01,225033
2016-09-01,226204
2016-10-01,224613
2016-11-01,224629
2016-12-01,227309
2017-01-01,227844
2017-02-01,226886
2017-03-01,228378
2017-04-01,226619
2017-05-01,231445
2017-06-01,229205
2017-07-01,228317
2017-08-01,231678
2017-09-01,232416
2017-10-01,233484
2017-11-01,237567
2017-12-01,236426
2018-01-01,237834
2018-02-01,239947
2018-03-01,241134
2018-04-01,242568
2018-05-01,243762
2018-06-01,244564
2018-07-01,243130
2018-08-01,245978
2018-09-01,246959
2018-10-01,246260
2018-11-01,247691
2018-12-01,246639
2019-01-01,244166
2019-02-01,245509
2019-03-01,243317
2019-04-01,240826
2019-05-01,242389
2019-06-01,242545
2019-07-01,237065
2019-08-01,237555
2019-09-01,235370
2019-10-01,233020
2019-11-01,231304
2019-12-01,229389
2020-01-01,227074
2020-02-01,231436
2020-03-01,216682
2020-04-01,173501
2020-05-01,181421
2020-06-01,210894
2020-07-01,224440
2020-08-01,226243
2020-09-01,227717
2020-10-01,230926
2020-11-01,231195
2020-12-01,236123
2021-01-01,240107
2021-02-01,235019
2021-03-01,237827
2021-04-01,239279
2021-05-01,240664
2021-06-01,242859
2021-07-01,249518
2021-08-01,247785
2021-09-01,249896
2021-10-01,253575
2021-11-01,256771
2021-12-01,259933
2022-01-01,262759
2022-02-01,265571
2022-03-01,268494
2022-04-01,270169
2022-05-01,273485
2022-06-01,273832
2022-07-01,272619
2022-08-01,275300
2022-09-01,276437
2022-10-01,276815
2022-11-01,278177
2022-12-01,278669
2023-01-01,279043
2023-02-01,277684
2023-03-01,279659
2023-04-01,277924
2023-05-01,283412.0
2023-06-01,283448.0
2023-07-01,283138.0
2023-08-01,284490.0
2023-09-01,282688.0
2023-10-01,280310.0
2023-11-01,283029.0
2023-12-01,281317.0
2024-01-01,279237.0
2024-02-01,282561.0
