Period, Type_2_AE_ATT 
Aug-10," 54,371 "
Sep-10," 55,181 "
Oct-10," 54,961 "
Nov-10," 53,727 "
Dec-10," 45,536 "
Jan-11," 51,585 "
Feb-11," 51,249 "
Mar-11," 57,900 "
Apr-11," 54,042 "
May-11," 57,067 "
Jun-11," 54,739 "
Jul-11," 56,204 "
Aug-11," 51,890 "
Sep-11," 52,329 "
Oct-11," 54,447 "
Nov-11," 51,772 "
Dec-11," 47,961 "
Jan-12," 51,607 "
Feb-12," 51,156 "
Mar-12," 58,574 "
Apr-12," 51,689 "
May-12," 56,417 "
Jun-12," 53,957 "
Jul-12," 55,392 "
Aug-12," 52,905 "
Sep-12," 51,526 "
Oct-12," 53,423 "
Nov-12," 51,805 "
Dec-12," 47,553 "
Jan-13," 49,518 "
Feb-13," 48,970 "
Mar-13," 54,219 "
Apr-13," 54,306 "
May-13," 54,729 "
Jun-13," 54,589 "
Jul-13," 55,536 "
Aug-13," 53,239 "
Sep-13," 52,312 "
Oct-13," 52,705 "
Nov-13," 50,631 "
Dec-13," 47,809 "
Jan-14," 51,060 "
Feb-14," 47,705 "
Mar-14," 55,798 "
Apr-14," 52,034 "
May-14," 54,446 "
Jun-14," 54,997 "
Jul-14," 55,793 "
Aug-14," 53,051 "
Sep-14," 52,195 "
Oct-14," 54,428 "
Nov-14," 52,329 "
Dec-14," 47,660 "
Jan-15," 50,900 "
Feb-15," 48,157 "
Mar-15," 56,383 "
Apr-15," 52,366 "
May-15," 54,809 "
Jun-15," 53,398 "
Jul-15," 53,417 "
Aug-15," 49,458 "
Sep-15," 50,868 "
Oct-15," 50,275 "
Nov-15," 48,306 "
Dec-15," 46,148 "
Jan-16," 47,208 "
Feb-16," 48,387 "
Mar-16," 49,906 "
Apr-16," 50,359 "
May-16," 52,180 "
Jun-16," 52,180 "
Jul-16," 52,961 "
Aug-16," 52,404 "
Sep-16," 52,521 "
Oct-16," 51,020 "
Nov-16," 49,979 "
Dec-16," 45,569 "
Jan-17," 48,039 "
Feb-17," 45,733 "
Mar-17," 53,355 "
Apr-17," 47,550 "
May-17," 51,037 "
Jun-17," 50,612 "
Jul-17," 50,369 "
Aug-17," 47,912 "
Sep-17," 47,250 "
Oct-17," 50,198 "
Nov-17," 48,223 "
Dec-17," 42,158 "
Jan-18," 49,987 "
Feb-18," 41,902 "
Mar-18," 46,655 "
Apr-18," 47,256 "
May-18," 49,219 "
Jun-18," 49,635 "
Jul-18," 49,846 "
Aug-18," 49,117 "
Sep-18," 47,622 "
Oct-18," 51,282 "
Nov-18," 48,465 "
Dec-18," 43,072 "
Jan-19," 47,616 "
Feb-19," 44,183 "
Mar-19," 50,490 "
Apr-19," 49,281 "
May-19," 50,642 "
Jun-19," 49,233 "
Jul-19," 52,418 "
Aug-19," 48,786 "
Sep-19," 48,217 "
Oct-19," 50,391 "
Nov-19," 47,179 "
Dec-19," 43,458 "
Jan-20," 49,597 "
Feb-20," 45,124 "
Mar-20," 32,747 "
Apr-20," 19,726 "
May-20," 26,479 "
Jun-20," 30,894 "
Jul-20," 32,759 "
Aug-20," 32,231 "
Sep-20," 33,295 "
Oct-20," 33,012 "
Nov-20," 31,872 "
Dec-20," 29,838 "
Jan-21," 25,744 "
Feb-21," 27,972 "
Mar-21," 35,656 "
Apr-21," 35,363 "
May-21," 38,747 "
Jun-21," 39,162 "
Jul-21," 39,313 "
Aug-21," 39,864 "
Sep-21," 40,503 "
Oct-21," 39,701 "
Nov-21," 39,025 "
Dec-21," 34,913 "
Jan-22," 36,557 "
Feb-22," 37,970 "
Mar-22," 41,910 "
Apr-22," 37,898 "
May-22," 41,874 "
Jun-22," 40,910 "
Jul-22," 39,632 "
Aug-22," 40,802 "
Sep-22," 40,188 "
Oct-22," 41,440 "
Nov-22," 42,644 "
Dec-22," 36,592 "
Jan-23," 42,076 "
Feb-23," 41,717 "
Mar-23," 46,803 "
Apr-23," 42,632 "
May-23," 45,826 "
Jun-23," 46,196 "
Jul-23," 45,513 "
Aug-23," 43,923 "
Sep-23," 42,631 "
Oct-23," 44,769 "
Nov-23," 42,365 "
Dec-23," 39,282 "
Jan-24," 42,835 "
