"","Fcasted_dates","Point Forecast","Lo 95","Hi 95","Model"
"Dec 2023",2023-12-01,1363086.46691218,1231852.31233044,1494320.62149392,"ARIMA"
"Jan 2024",2024-01-01,1298988.25571158,1098186.66239201,1499789.84903115,"ARIMA"
"Feb 2024",2024-02-01,1268547.040288,1014720.13852888,1522373.94204711,"ARIMA"
"Mar 2024",2024-03-01,1417345.46403252,1119526.31630353,1715164.6117615,"ARIMA"
"Apr 2024",2024-04-01,1336453.07211257,1000313.29396406,1672592.85026108,"ARIMA"
"May 2024",2024-05-01,1433566.53452113,1063042.98855333,1804090.08048893,"ARIMA"
"Jun 2024",2024-06-01,1413566.75560138,1011589.03871727,1815544.47248549,"ARIMA"
"Jul 2024",2024-07-01,1409017.87520082,977874.543266271,1840161.20713536,"ARIMA"
"Aug 2024",2024-08-01,1347661.37356615,889204.094806329,1806118.65232596,"ARIMA"
"Sep 2024",2024-09-01,1363521.02139544,879288.037440395,1847754.00535048,"ARIMA"
"Oct 2024",2024-10-01,1420891.93980143,912187.615609558,1929596.2639933,"ARIMA"
"Nov 2024",2024-11-01,1410081.76442458,878030.454665677,1942133.07418347,"ARIMA"
"Dec 2024",2024-12-01,1421424.47586465,853546.211368283,1989302.74036102,"ARIMA"
"Jan 2025",2025-01-01,1315382.21936747,711549.112289088,1919215.32644585,"ARIMA"
"Feb 2025",2025-02-01,1288996.58851623,650888.653510195,1927104.52352227,"ARIMA"
"Mar 2025",2025-03-01,1410343.83194203,739658.653526921,2081029.01035714,"ARIMA"
"Apr 2025",2025-04-01,1339535.31404294,637775.752022365,2041294.87606352,"ARIMA"
"May 2025",2025-05-01,1428108.04879859,696591.74896016,2159624.34863702,"ARIMA"
"Jun 2025",2025-06-01,1416419.06261672,656309.869123623,2176528.25610982,"ARIMA"
"Jul 2025",2025-07-01,1410915.25175551,623250.400041744,2198580.10346928,"ARIMA"
"Aug 2025",2025-08-01,1366265.08506616,551976.525590015,2180553.6445423,"ARIMA"
"Sep 2025",2025-09-01,1391381.77773035,551312.852790658,2231450.70267003,"ARIMA"
"Oct 2025",2025-10-01,1429595.43572803,564514.087312288,2294676.78414377,"ARIMA"
"Nov 2025",2025-11-01,1413832.18423846,524441.561322161,2303222.80715476,"ARIMA"
"Dec 20231",2023-12-01,1401360.48950523,1282543.31561406,1520177.66339639,"TBATS"
"Jan 20241",2024-01-01,1303203.2396408,1135425.45896039,1470981.0203212,"TBATS"
"Feb 20241",2024-02-01,1262001.25651991,1055322.40950386,1468680.10353596,"TBATS"
"Mar 20241",2024-03-01,1360211.13411045,1120430.35360113,1599991.91461977,"TBATS"
"Apr 20241",2024-04-01,1308045.91393264,1040034.61022549,1576057.21763978,"TBATS"
"May 20241",2024-05-01,1362032.04278203,1068386.33559012,1655677.74997394,"TBATS"
"Jun 20241",2024-06-01,1371877.98408939,1054596.19397673,1689159.77420204,"TBATS"
"Jul 20241",2024-07-01,1376779.59390784,1037988.33008481,1715570.85773087,"TBATS"
"Aug 20241",2024-08-01,1324815.94484205,965370.353614984,1684261.53606913,"TBATS"
"Sep 20241",2024-09-01,1303393.57652645,924829.136158113,1681958.01689479,"TBATS"
"Oct 20241",2024-10-01,1369497.94601015,972699.096997697,1766296.79502259,"TBATS"
"Nov 20241",2024-11-01,1288553.58356505,874085.443791544,1703021.72333856,"TBATS"
"Dec 20241",2024-12-01,1323193.02445398,892634.448174399,1753751.60073357,"TBATS"
"Jan 20251",2025-01-01,1240669.25105581,794648.288707415,1686690.2134042,"TBATS"
"Feb 20251",2025-02-01,1211974.05241672,750334.326451795,1673613.77838165,"TBATS"
"Mar 20251",2025-03-01,1320189.36023974,843141.110968114,1797237.60951137,"TBATS"
"Apr 20251",2025-04-01,1276028.48636554,784437.27358057,1767619.69915051,"TBATS"
"May 20251",2025-05-01,1336418.09395192,830591.664818055,1842244.52308579,"TBATS"
"Jun 20251",2025-06-01,1351386.81960416,831636.365252072,1871137.27395625,"TBATS"
"Jul 20251",2025-07-01,1360386.65798274,827352.048558768,1893421.26740672,"TBATS"
"Aug 20251",2025-08-01,1311701.59263245,765400.197494148,1858002.98777074,"TBATS"
"Sep 20251",2025-09-01,1292902.09198313,733908.224444717,1851895.95952155,"TBATS"
"Oct 20251",2025-10-01,1361104.75615499,789661.344387474,1932548.16792251,"TBATS"
"Nov 20251",2025-11-01,1281839.02990453,698032.705651438,1865645.35415762,"TBATS"
