"","Period","Type1_ATT","Type2_ATT"
"1","Aug-10",1138652,54371
"2","Sep-10",1150728,55181
"3","Oct-10",1163143,54961
"4","Nov-10",1111295,53727
"5","Dec-10",1159204,45536
"6","Jan-11",1133881,51585
"7","Feb-11",1053707,51249
"8","Mar-11",1225222,57900
"9","Apr-11",1197213,54042
"10","May-11",1221687,57067
"11","Jun-11",1168468,54739
"12","Jul-11",1211066,56204
"13","Aug-11",1135801,51890
"14","Sep-11",1162143,52329
"15","Oct-11",1200708,54447
"16","Nov-11",1134959,51772
"17","Dec-11",1141606,47961
"18","Jan-12",1137916,51607
"19","Feb-12",1120423,51156
"20","Mar-12",1263082,58574
"21","Apr-12",1149634,51689
"22","May-12",1251414,56417
"23","Jun-12",1222084,53957
"24","Jul-12",1248953,55392
"25","Aug-12",1197384,52905
"26","Sep-12",1178361,51526
"27","Oct-12",1214433,53423
"28","Nov-12",1167908,51805
"29","Dec-12",1202080,47553
"30","Jan-13",1149837,49518
"31","Feb-13",1085333,48970
"32","Mar-13",1226196,54219
"33","Apr-13",1199089,54306
"34","May-13",1229747,54729
"35","Jun-13",1191352,54589
"36","Jul-13",1281700,55536
"37","Aug-13",1189671,53239
"38","Sep-13",1156569,52312
"39","Oct-13",1199259,52705
"40","Nov-13",1139112,50631
"41","Dec-13",1172011,47809
"42","Jan-14",1142284,51060
"43","Feb-14",1084744,47705
"44","Mar-14",1269436,55798
"45","Apr-14",1213066,52034
"46","May-14",1287333,54446
"47","Jun-14",1265211,54997
"48","Jul-14",1302588,55793
"49","Aug-14",1188147,53051
"50","Sep-14",1221782,52195
"51","Oct-14",1250114,54428
"52","Nov-14",1205519,52329
"53","Dec-14",1241895,47660
"54","Jan-15",1124040,50900
"55","Feb-15",1072452,48157
"56","Mar-15",1251325,56383
"57","Apr-15",1206631,52366
"58","May-15",1254445,54809
"59","Jun-15",1249213,53398
"60","Jul-15",1271523,53417
"61","Aug-15",1215826,49458
"62","Sep-15",1221594,50868
"63","Oct-15",1261395,50275
"64","Nov-15",1236294,48306
"65","Dec-15",1232965,46148
"66","Jan-16",1250005,47208
"67","Feb-16",1218372,48387
"68","Mar-16",1350373,49906
"69","Apr-16",1214057,50359
"70","May-16",1353206,52180
"71","Jun-16",1282499,52180
"72","Jul-16",1353477,52961
"73","Aug-16",1254439,52404
"74","Sep-16",1277578,52521
"75","Oct-16",1317571,51020
"76","Nov-16",1258205,49979
"77","Dec-16",1277133,45569
"78","Jan-17",1237177,48039
"79","Feb-17",1127909,45733
"80","Mar-17",1309507,53355
"81","Apr-17",1253743,47550
"82","May-17",1347297,51037
"83","Jun-17",1296877,50612
"84","Jul-17",1348648,50369
"85","Aug-17",1256655,47912
"86","Sep-17",1263957,47250
"87","Oct-17",1325211,50198
"88","Nov-17",1281913,48223
"89","Dec-17",1289587,42158
"90","Jan-18",1257026,49987
"91","Feb-18",1151757,41902
"92","Mar-18",1299796,46655
"93","Apr-18",1246348,47256
"94","May-18",1354711,49219
"95","Jun-18",1306739,49635
"96","Jul-18",1365859,49846
"97","Aug-18",1252767,49117
"98","Sep-18",1269088,47622
"99","Oct-18",1320032,51282
"100","Nov-18",1305353,48465
"101","Dec-18",1307359,43072
"102","Jan-19",1344354,47616
"103","Feb-19",1234328,44183
"104","Mar-19",1373061,50490
"105","Apr-19",1330825,49281
"106","May-19",1369332,50642
"107","Jun-19",1334137,49233
"108","Jul-19",1415918,52418
"109","Aug-19",1324070,48786
"110","Sep-19",1342510,48217
"111","Oct-19",1376347,50391
"112","Nov-19",1366383,47179
"113","Dec-19",1373654,43458
"114","Jan-20",1327234,49597
"115","Feb-20",1237255,45124
"116","Mar-20",1013021,32747
"117","Apr-20",689720,19726
"118","May-20",924218,26479
"119","Jun-20",1016132,30894
"120","Jul-20",1120421,32759
"121","Aug-20",1179019,32231
"122","Sep-20",1163948,33295
"123","Oct-20",1111958,33012
"124","Nov-20",1036350,31872
"125","Dec-20",1039474,29838
"126","Jan-21",941194,25744
"127","Feb-21",903771,27972
"128","Mar-21",1161079,35656
"129","Apr-21",1259266,35363
"130","May-21",1396116,38747
"131","Jun-21",1436111,39162
"132","Jul-21",1430733,39313
"133","Aug-21",1341757,39864
"134","Sep-21",1392405,40503
"135","Oct-21",1419010,39701
"136","Nov-21",1336830,39025
"137","Dec-21",1250568,34913
"138","Jan-22",1247417,36557
"139","Feb-22",1205820,37970
"140","Mar-22",1421526,41910
"141","Apr-22",1312380,37898
"142","May-22",1437421,41874
"143","Jun-22",1400664,40910
"144","Jul-22",1397083,39632
"145","Aug-22",1299083,40802
"146","Sep-22",1301611,40188
"147","Oct-22",1399185,41440
"148","Nov-22",1395183,42644
"149","Dec-22",1437681,36592
"150","Jan-23",1243898,42076
"151","Feb-23",1206386,41717
"152","Mar-23",1372403,46803
"153","Apr-23",1271145,42632
"154","May-23",1400815,45826
"155","Jun-23",1389009,46196
"156","Jul-23",1379854,45513
"157","Aug-23",1323647,43923
"158","Sep-23",1369045,42631
"159","Oct-23",1413560,44769
"160","Nov-23",1385701,42365
"161","Dec-23",1383876,39282
"162","Jan-24",1397645,42835
